day_of_week,scheduled_run_time,boss_name
Sunday,13:00,VP
Sunday,13:45,CFO
Sunday,14:30,CJ
Sunday,15:15,CEO
Sunday,20:00,VP
Sunday,20:45,CFO
Sunday,21:30,CJ
Sunday,22:15,CEO
Sunday,0:00,VP
Sunday,0:45,CFO
Sunday,1:30,CJ
Sunday,14:15,CEO
Sunday,3:15,VP
Sunday,4:00,CFO
Sunday,4:45,CJ
Sunday,5:30,CEO
Monday,13:00,CEO
Monday,14:00,VP
Monday,14:45,CFO
Monday,15:30,CJ
Monday,20:00,CEO
Monday,21:00,VP
Monday,21:45,CFO
Monday,22:30,CJ
Monday,2:00,CEO
Monday,3:00,VP
Monday,3:45,CFO
Monday,4:30,CJ
Tuesday,13:00,VP
Tuesday,13:45,CFO
Tuesday,14:30,CJ
Tuesday,15:15,CEO
Tuesday,17:00,VP
Tuesday,17:45,CFO
Tuesday,18:30,CJ
Tuesday,19:15,CEO
Tuesday,23:00,VP
Tuesday,23:45,CFO
Tuesday,0:30,CJ
Tuesday,1:15,CEO
Tuesday,3:00,VP
Tuesday,3:45,CFO
Tuesday,4:30,CJ
Tuesday,5:15,CEO
Wednesday,13:00,CEO
Wednesday,14:00,VP
Wednesday,14:45,CFO
Wednesday,15:30,CJ
Wednesday,19:00,CEO
Wednesday,20:00,VP
Wednesday,20:45,CFO
Wednesday,21:30,CJ
Wednesday,23:00,CEO
Wednesday,0:00,VP
Wednesday,0:45,CFO
Wednesday,1:30,CJ
Wednesday,2:15,CEO
Wednesday,3:15,VP
Wednesday,4:00,CFO
Wednesday,4:45,CJ
Thursday,13:00,CJ
Thursday,13:45,CEO
Thursday,14:45,VP
Thursday,15:30,CFO
Thursday,19:00,CJ
Thursday,19:45,CEO
Thursday,20:45,VP
Thursday,21:30,CFO
Thursday,0:00,CJ
Thursday,0:45,CEO
Thursday,1:45,VP
Thursday,2:30,CFO
Thursday,3:30,CJ
Thursday,4:15,CEO
Thursday,5:15,VP
Thursday,6:00,CFO
Friday,13:00,CFO
Friday,13:45,CJ
Friday,14:30,CEO
Friday,15:30,VP
Friday,19:00,CFO
Friday,19:45,CJ
Friday,20:30,CEO
Friday,21:30,VP
Friday,0:00,CFO
Friday,0:45,CJ
Friday,1:30,CEO
Friday,2:30,VP
Friday,3:30,CFO
Friday,4:15,CJ
Friday,5:00,CEO
Friday,6:00,VP
Saturday,13:00,CJ
Saturday,13:45,CEO
Saturday,14:45,VP
Saturday,15:30,CFO
Saturday,17:00,CJ
Saturday,17:45,CEO
Saturday,18:45,VP
Saturday,19:30,CFO
Saturday,20:15,CJ
Saturday,21:00,CEO
Saturday,22:00,VP
Saturday,22:45,CFO
Saturday,0:00,CJ
Saturday,0:45,CEO
Saturday,1:45,VP
Saturday,2:30,CFO
Saturday,3:30,CJ
Saturday,4:15,CEO
Saturday,5:15,VP
Saturday,6:00,CFO
