day_of_week,scheduled_run_time,boss_name
Sunday,7:00,VP
Sunday,7:45,CFO
Sunday,8:30,CJ
Sunday,9:15,CEO
Sunday,14:00,VP
Sunday,14:45,CFO
Sunday,15:30,CJ
Sunday,16:15,CEO
Sunday,18:00,VP
Sunday,18:45,CFO
Sunday,19:30,CJ
Sunday,20:15,CEO
Sunday,21:15,VP
Sunday,22:00,CFO
Sunday,22:45,CJ
Sunday,23:30,CEO
Monday,7:00,CEO
Monday,8:00,VP
Monday,8:45,CFO
Monday,9:30,CJ
Monday,14:00,CEO
Monday,15:00,VP
Monday,15:45,CFO
Monday,16:30,CJ
Monday,20:00,CEO
Monday,21:00,VP
Monday,21:45,CFO
Monday,22:30,CJ
Tuesday,7:00,VP
Tuesday,7:45,CFO
Tuesday,8:30,CJ
Tuesday,9:15,CEO
Tuesday,11:00,VP
Tuesday,11:45,CFO
Tuesday,12:30,CJ
Tuesday,13:15,CEO
Tuesday,17:00,VP
Tuesday,17:45,CFO
Tuesday,18:30,CJ
Tuesday,19:15,CEO
Tuesday,21:00,VP
Tuesday,21:45,CFO
Tuesday,22:30,CJ
Tuesday,23:15,CEO
Wednesday,7:00,CEO
Wednesday,8:00,VP
Wednesday,8:45,CFO
Wednesday,9:30,CJ
Wednesday,13:00,CEO
Wednesday,14:00,VP
Wednesday,14:45,CFO
Wednesday,15:30,CJ
Wednesday,17:00,CEO
Wednesday,18:00,VP
Wednesday,18:45,CFO
Wednesday,19:30,CJ
Wednesday,20:15,CEO
Wednesday,21:15,VP
Wednesday,22:00,CFO
Wednesday,22:45,CJ
Thursday,7:00,CJ
Thursday,7:45,CEO
Thursday,8:45,VP
Thursday,9:30,CFO
Thursday,13:00,CJ
Thursday,13:45,CEO
Thursday,14:45,VP
Thursday,15:30,CFO
Thursday,18:00,CJ
Thursday,18:45,CEO
Thursday,19:45,VP
Thursday,20:30,CFO
Thursday,21:30,CJ
Thursday,22:15,CEO
Thursday,23:15,VP
Thursday,0:00,CFO
Friday,7:00,CFO
Friday,7:45,CJ
Friday,8:30,CEO
Friday,9:30,VP
Friday,13:00,CFO
Friday,13:45,CJ
Friday,14:30,CEO
Friday,15:30,VP
Friday,18:00,CFO
Friday,18:45,CJ
Friday,19:30,CEO
Friday,20:30,VP
Friday,21:30,CFO
Friday,22:15,CJ
Friday,23:00,CEO
Friday,0:00,VP
Saturday,7:00,CJ
Saturday,7:45,CEO
Saturday,8:45,VP
Saturday,9:30,CFO
Saturday,11:00,CJ
Saturday,11:45,CEO
Saturday,12:45,VP
Saturday,13:30,CFO
Saturday,14:15,CJ
Saturday,15:00,CEO
Saturday,16:00,VP
Saturday,16:45,CFO
Saturday,18:00,CJ
Saturday,18:45,CEO
Saturday,19:45,VP
Saturday,20:30,CFO
Saturday,21:30,CJ
Saturday,22:15,CEO
Saturday,23:15,VP
Saturday,0:00,CFO
