day_of_week,scheduled_run_time,boss_name
Sunday,8:00,VP
Sunday,8:45,CFO
Sunday,9:30,CJ
Sunday,10:15,CEO
Sunday,15:00,VP
Sunday,15:45,CFO
Sunday,16:30,CJ
Sunday,17:15,CEO
Sunday,19:00,VP
Sunday,19:45,CFO
Sunday,20:30,CJ
Sunday,21:15,CEO
Sunday,22:15,VP
Sunday,23:00,CFO
Sunday,23:45,CJ
Sunday,0:30,CEO
Monday,8:00,CEO
Monday,9:00,VP
Monday,9:45,CFO
Monday,10:30,CJ
Monday,15:00,CEO
Monday,16:00,VP
Monday,16:45,CFO
Monday,17:30,CJ
Monday,21:00,CEO
Monday,22:00,VP
Monday,22:45,CFO
Monday,23:30,CJ
Tuesday,8:00,VP
Tuesday,8:45,CFO
Tuesday,9:30,CJ
Tuesday,10:15,CEO
Tuesday,12:00,VP
Tuesday,12:45,CFO
Tuesday,13:30,CJ
Tuesday,14:15,CEO
Tuesday,18:00,VP
Tuesday,18:45,CFO
Tuesday,19:30,CJ
Tuesday,20:15,CEO
Tuesday,22:00,VP
Tuesday,22:45,CFO
Tuesday,23:30,CJ
Tuesday,0:15,CEO
Wednesday,8:00,CEO
Wednesday,9:00,VP
Wednesday,9:45,CFO
Wednesday,10:30,CJ
Wednesday,14:00,CEO
Wednesday,15:00,VP
Wednesday,15:45,CFO
Wednesday,16:30,CJ
Wednesday,18:00,CEO
Wednesday,19:00,VP
Wednesday,19:45,CFO
Wednesday,20:30,CJ
Wednesday,21:15,CEO
Wednesday,22:15,VP
Wednesday,23:00,CFO
Wednesday,23:45,CJ
Thursday,8:00,CJ
Thursday,8:45,CEO
Thursday,9:45,VP
Thursday,10:30,CFO
Thursday,14:00,CJ
Thursday,14:45,CEO
Thursday,15:45,VP
Thursday,16:30,CFO
Thursday,19:00,CJ
Thursday,19:45,CEO
Thursday,20:45,VP
Thursday,21:30,CFO
Thursday,22:30,CJ
Thursday,23:15,CEO
Thursday,0:15,VP
Thursday,1:00,CFO
Friday,8:00,CFO
Friday,8:45,CJ
Friday,9:30,CEO
Friday,10:30,VP
Friday,14:00,CFO
Friday,14:45,CJ
Friday,15:30,CEO
Friday,16:30,VP
Friday,19:00,CFO
Friday,19:45,CJ
Friday,20:30,CEO
Friday,21:30,VP
Friday,22:30,CFO
Friday,23:15,CJ
Friday,0:00,CEO
Friday,1:00,VP
Saturday,8:00,CJ
Saturday,8:45,CEO
Saturday,9:45,VP
Saturday,10:30,CFO
Saturday,12:00,CJ
Saturday,12:45,CEO
Saturday,13:45,VP
Saturday,14:30,CFO
Saturday,15:15,CJ
Saturday,16:00,CEO
Saturday,17:00,VP
Saturday,17:45,CFO
Saturday,19:00,CJ
Saturday,19:45,CEO
Saturday,20:45,VP
Saturday,21:30,CFO
Saturday,22:30,CJ
Saturday,23:15,CEO
Saturday,0:15,VP
Saturday,1:00,CFO
