day_of_week,scheduled_run_time,boss_name
Sunday,6:00,VP
Sunday,6:45,CFO
Sunday,7:30,CJ
Sunday,8:15,CEO
Sunday,13:00,VP
Sunday,13:45,CFO
Sunday,14:30,CJ
Sunday,15:15,CEO
Sunday,17:00,VP
Sunday,17:45,CFO
Sunday,18:30,CJ
Sunday,19:15,CEO
Sunday,20:15,VP
Sunday,21:00,CFO
Sunday,21:45,CJ
Sunday,22:30,CEO
Monday,6:00,CEO
Monday,7:00,VP
Monday,7:45,CFO
Monday,8:30,CJ
Monday,13:00,CEO
Monday,14:00,VP
Monday,14:45,CFO
Monday,15:30,CJ
Monday,19:00,CEO
Monday,20:00,VP
Monday,20:45,CFO
Monday,21:30,CJ
Tuesday,6:00,VP
Tuesday,6:45,CFO
Tuesday,7:30,CJ
Tuesday,8:15,CEO
Tuesday,10:00,VP
Tuesday,10:45,CFO
Tuesday,11:30,CJ
Tuesday,12:15,CEO
Tuesday,16:00,VP
Tuesday,16:45,CFO
Tuesday,17:30,CJ
Tuesday,18:15,CEO
Tuesday,20:00,VP
Tuesday,20:45,CFO
Tuesday,21:30,CJ
Tuesday,22:15,CEO
Wednesday,6:00,CEO
Wednesday,7:00,VP
Wednesday,7:45,CFO
Wednesday,8:30,CJ
Wednesday,12:00,CEO
Wednesday,13:00,VP
Wednesday,13:45,CFO
Wednesday,14:30,CJ
Wednesday,16:00,CEO
Wednesday,17:00,VP
Wednesday,17:45,CFO
Wednesday,18:30,CJ
Wednesday,19:15,CEO
Wednesday,20:15,VP
Wednesday,21:00,CFO
Wednesday,21:45,CJ
Thursday,6:00,CJ
Thursday,6:45,CEO
Thursday,7:45,VP
Thursday,8:30,CFO
Thursday,12:00,CJ
Thursday,12:45,CEO
Thursday,13:45,VP
Thursday,14:30,CFO
Thursday,17:00,CJ
Thursday,17:45,CEO
Thursday,18:45,VP
Thursday,19:30,CFO
Thursday,20:30,CJ
Thursday,21:15,CEO
Thursday,22:15,VP
Thursday,23:00,CFO
Friday,6:00,CFO
Friday,6:45,CJ
Friday,7:30,CEO
Friday,8:30,VP
Friday,12:00,CFO
Friday,12:45,CJ
Friday,13:30,CEO
Friday,14:30,VP
Friday,17:00,CFO
Friday,17:45,CJ
Friday,18:30,CEO
Friday,19:30,VP
Friday,20:30,CFO
Friday,21:15,CJ
Friday,22:00,CEO
Friday,23:00,VP
Saturday,6:00,CJ
Saturday,6:45,CEO
Saturday,7:45,VP
Saturday,8:30,CFO
Saturday,10:00,CJ
Saturday,10:45,CEO
Saturday,11:45,VP
Saturday,12:30,CFO
Saturday,13:15,CJ
Saturday,14:00,CEO
Saturday,15:00,VP
Saturday,15:45,CFO
Saturday,17:00,CJ
Saturday,17:45,CEO
Saturday,18:45,VP
Saturday,19:30,CFO
Saturday,20:30,CJ
Saturday,21:15,CEO
Saturday,22:15,VP
Saturday,23:00,CFO
